block_number,parcel_num,money,year_appraisal
56,2,10500,
14,15,1500,
27,9,1400,
34,16,1350,
10,18,150,
32,14,42000,
10,14,3350,
60,11,450,
33,7,250,
71,31,800,
71,7,2350,
31,22,13000,
71,12,6000,
16,4,8000,
16,1,6350,
76,3,700,
57,3,6000,
31,23,5650,
27,24B,3800,
44,23,2900,
16,6,11000,
47,3,6000,
3,14,4000,
11,2,47000,
39,11,8300,
41,12,7200,
6,17,2750,
27,15,6500,
16,2,6000,
16,10,3600,
72,10,6500,
44,1,8000,
16,13,10000,
5,6,4600,
71,27,1500,
48,16,2750,
37,2,5650,
17,35,10000,
55,38,575,
6,1,19650,
47,9,15000,
10,17,2700,
40,19,6800,
1,22,4000,
46,10,575,
10,12,1675,
48,10,31000,
11,26,300,
43,26,12500,
15,7,10850,
53,5,1275,
47,26,5500,
45,3,5500,
45,22,3000,
39,17,16500,
10,4,5500,
59,17,100,
59,8,6200,
49,10,3550,
71,6,3300,
52,10,2000,
10,13,500,
1,34,2000,
19,23,9500,
48,7,3525,
15,19,3450,
76,9,2000,
44,11,6500,
30,19,5900,
42,14,8750,
28,1,8500,
17,28,5250,
6,50,4750,
46,17,5050,
11,31,3200,
3,2,37700,
71,5,3750,
4,21,8500,
30,10,10350,
55,52,1550,
40,24,760,
72,2,28000,
53,2,500,
57,2,3600,
38,16,8550,
14,2,27500,
29,18,4000,
53,1,16000,
53,6,11500,
5,10,4500,
49,18,3100,
50,2,10000,
34,10,1500,
40,14,10000,
48,17,3800,
48,18,1150,
34,3,10000,
11,5,350,
4,10,4500,
52,2,2000,
11,14,1500,
47,1,17300,
11,29,2000,
1,32,750,
56A,25,1000,
43,1,21550,
40,22,18100,
57,8,6500,
56,4,5000,
38,15,8750,
31,26,7800,
15,15,8300,
48,20,3000,
45,19,4000,
71,28,4500,
1,35,600,
45,6,4800,
47,11,11000,
55,32,8000,
17,32,4084,
1,27,4000,
16,19,4500,
55,13,7000,
59,10,7350,
49,4,2000,
30,29,1400,
1,13A,800,
76,4,5250,
53,7,11000,
39,15B,6600,
6,14A,6250,
71,30,800,
40,4,7500,
55,17,8800,
11,22,350,
57,4,8000,
56,18,5000,
60,8,240,
18,4,5750,
3,4,9200,
55,24,3800,
16,20,7300,
52,6,3500,
27,11,4250,
45,15,4550,
50,4,6750,
72,3,3000,
76,6,4800,
38,13,17100,
27,28,6000,
43,34,7100,
11,27,2400,
45,32,5900,
6,3,7600,
45,2,4000,
6,48,7000,
1,41,-,
30,16,5500,
34,4,4000,
71,22,675,
48,27,3000,
48,2,6500,
62,2,10000,
6,43,5000,
5,11,5000,
3,13,7200,
15,13,4000,
37,6,6800,
11,33,2400,
1,25,3500,
53,10,250,
5,2,7200,
50,18,450,
45,21,6300,
40,17,6250,
43,35,7000,
46,7,3800,
29,3,5850,
4,4,7750,
49,6,3500,
53,4,8300,
48,25,11400,
27,19,150,
50,15,400,
44,10,4500,
17,27,3500,
50,8,7500,
1,28,1100,
3,20,5000,
1,11,8000,
55,30,8000,
43,4,10000,
5,20,4500,
1,43,1575,
50,10,5000,
3,25,3000,
59,1,7500,
